categoria,anio,conteo,
Mariología,1825,,
Mariología,1826,1.00,
Mariología,1827,,
Mariología,1828,,
Mariología,1829,,
Mariología,1830,1.00,
Mariología,1831,,
Mariología,1832,,
Mariología,1833,,
Mariología,1834,,
Mariología,1835,,
Mariología,1836,,
Mariología,1837,,
Mariología,1838,,
Mariología,1839,,
Mariología,1840,0,
Mística y Moral,1600,,
Mística y Moral,1616,,
Mística y Moral,1669,,
Mística y Moral,1670,,
Mística y Moral,1679,,
Mística y Moral,1700,,
Mística y Moral,1705,,
Mística y Moral,1708,,
Mística y Moral,1710,,
Mística y Moral,1711,,
Mística y Moral,1713,,
Mística y Moral,1715,,
Mística y Moral,1717,,
Mística y Moral,1718,,
Mística y Moral,1719,,
Mística y Moral,1720,,
Mística y Moral,1722,,
Mística y Moral,1723,,
Mística y Moral,1724,,
Mística y Moral,1725,,
Mística y Moral,1726,,
Mística y Moral,1727,,
Mística y Moral,1728,,
Mística y Moral,1729,,
Mística y Moral,1730,,
Mística y Moral,1731,,
Mística y Moral,1732,,
Mística y Moral,1733,,
Mística y Moral,1734,,
Mística y Moral,1735,,
Mística y Moral,1737,,
Mística y Moral,1738,,
Mística y Moral,1740,,
Mística y Moral,1741,,
Mística y Moral,1742,,
Mística y Moral,1743,,
Mística y Moral,1745,,
Mística y Moral,1746,,
Mística y Moral,1747,,
Mística y Moral,1748,,
Mística y Moral,1749,,
Mística y Moral,1750,,
Mística y Moral,1751,,
Mística y Moral,1752,,
Mística y Moral,1753,,
Mística y Moral,1754,,
Mística y Moral,1755,,
Mística y Moral,1756,,
Mística y Moral,1757,,
Mística y Moral,1758,,
Mística y Moral,1759,,
Mística y Moral,1760,,
Mística y Moral,1761,,
Mística y Moral,1762,,
Mística y Moral,1763,,
Mística y Moral,1764,,
Mística y Moral,1765,,
Mística y Moral,1766,,
Mística y Moral,1767,,
Mística y Moral,1768,,
Mística y Moral,1769,,
Mística y Moral,1770,,
Mística y Moral,1771,,
Mística y Moral,1772,,
Mística y Moral,1773,,
Mística y Moral,1774,,
Mística y Moral,1775,,
Mística y Moral,1776,,
Mística y Moral,1777,,
Mística y Moral,1778,,
Mística y Moral,1779,,
Mística y Moral,1780,,
Mística y Moral,1781,,
Mística y Moral,1782,,
Mística y Moral,1783,,
Mística y Moral,1784,,
Mística y Moral,1785,,
Mística y Moral,1786,,
Mística y Moral,1787,,
Mística y Moral,1788,,
Mística y Moral,1789,,
Mística y Moral,1790,,
Mística y Moral,1791,,
Mística y Moral,1792,,
Mística y Moral,1793,,
Mística y Moral,1794,,
Mística y Moral,1795,,
Mística y Moral,1796,,
Mística y Moral,1797,,
Mística y Moral,1798,,
Mística y Moral,1799,,
Mística y Moral,1800,,
Mística y Moral,1801,,
Mística y Moral,1802,,
Mística y Moral,1803,,
Mística y Moral,1804,1.00,
Mística y Moral,1805,,
Mística y Moral,1806,,
Mística y Moral,1807,,
Mística y Moral,1808,,
Mística y Moral,1809,,
Mística y Moral,1810,,
Mística y Moral,1811,,
Mística y Moral,1812,,
Mística y Moral,1813,,
Mística y Moral,1814,,
Mística y Moral,1815,,
Mística y Moral,1816,,
Mística y Moral,1817,,
Mística y Moral,1818,,
Mística y Moral,1819,,
Mística y Moral,1820,,
Mística y Moral,1821,,
Mística y Moral,1822,,
Mística y Moral,1823,,
Mística y Moral,1824,,
Mística y Moral,1825,,
Mística y Moral,1826,,
Mística y Moral,1827,,
Mística y Moral,1828,,
Mística y Moral,1829,,
Mística y Moral,1830,,
Mística y Moral,1831,,
Mística y Moral,1832,,
Mística y Moral,1833,,
Mística y Moral,1834,,
Mística y Moral,1835,,
Mística y Moral,1836,,
Mística y Moral,1837,,
Mística y Moral,1838,,
Mística y Moral,1839,,
Mística y Moral,1840,,
Retrato,1600,,
Retrato,1616,1.00,
Retrato,1669,,
Retrato,1670,3.00,
Retrato,1679,2.00,
Retrato,1700,9.00,
Retrato,1705,1.00,
Retrato,1708,1.00,
Retrato,1710,2.00,
Retrato,1711,1.00,
Retrato,1713,1.00,
Retrato,1715,3.00,
Retrato,1717,,
Retrato,1718,2.00,
Retrato,1719,4.00,
Retrato,1720,7.00,
Retrato,1722,2.00,
Retrato,1723,1.00,
Retrato,1724,1.00,
Retrato,1725,2.00,
Retrato,1726,2.00,
Retrato,1727,3.00,
Retrato,1728,2.00,
Retrato,1729,6.00,
Retrato,1730,8.00,
Retrato,1731,1.00,
Retrato,1732,2.00,
Retrato,1733,1.00,
Retrato,1734,6.00,
Retrato,1735,5.00,
Retrato,1737,5.00,
Retrato,1738,1.00,
Retrato,1740,5.00,
Retrato,1741,1.00,
Retrato,1742,2.00,
Retrato,1743,3.00,
Retrato,1745,4.00,
Retrato,1746,6.00,
Retrato,1747,4.00,
Retrato,1748,4.00,
Retrato,1749,10.00,
Retrato,1750,12.00,
Retrato,1751,2.00,
Retrato,1752,1.00,
Retrato,1753,1.00,
Retrato,1754,2.00,
Retrato,1755,15.00,
Retrato,1756,6.00,
Retrato,1757,4.00,
Retrato,1758,17.00,
Retrato,1759,3.00,
Retrato,1760,15.00,
Retrato,1761,8.00,
Retrato,1762,3.00,
Retrato,1763,13.00,
Retrato,1764,8.00,
Retrato,1765,16.00,
Retrato,1766,13.00,
Retrato,1767,11.00,
Retrato,1768,7.00,
Retrato,1769,4.00,
Retrato,1770,40.00,
Retrato,1771,14.00,
Retrato,1772,11.00,
Retrato,1773,9.00,
Retrato,1774,8.00,
Retrato,1775,16.00,
Retrato,1776,11.00,
Retrato,1777,2.00,
Retrato,1778,4.00,
Retrato,1779,5.00,
Retrato,1780,21.00,
Retrato,1781,3.00,
Retrato,1782,11.00,
Retrato,1783,7.00,
Retrato,1784,12.00,
Retrato,1785,20.00,
Retrato,1786,9.00,
Retrato,1787,8.00,
