categoria,anio,conteo
Dogma,1619,
Dogma,1620,
Dogma,1621,
Dogma,1624,
Dogma,1625,
Dogma,1626,
Dogma,1630,
Dogma,1631,
Dogma,1632,
Dogma,1634,1.0
Dogma,1635,
Dogma,1637,
Dogma,1638,
Dogma,1639,
Dogma,1640,
Dogma,1642,
Dogma,1643,
Dogma,1645,
Dogma,1646,
Dogma,1647,
Dogma,1648,
Dogma,1649,
Dogma,1650,
Dogma,1652,
Dogma,1653,
Dogma,1655,
Dogma,1656,
Dogma,1658,
Dogma,1659,
Dogma,1660,
Dogma,1661,
Dogma,1662,
Dogma,1665,
Dogma,1666,
Dogma,1667,
Dogma,1668,
Dogma,1669,
Dogma,1670,
Dogma,1671,
Dogma,1672,
Dogma,1673,
Dogma,1675,2.0
Dogma,1676,
Dogma,1677,
Dogma,1678,
Dogma,1679,
Dogma,1680,1.0
Dogma,1681,
Dogma,1683,
Dogma,1684,2.0
Dogma,1685,
Dogma,1686,
Dogma,1687,
Dogma,1688,
Dogma,1689,
Dogma,1690,1.0
Dogma,1691,
Dogma,1692,1.0
Dogma,1693,
Dogma,1694,
Dogma,1695,
Dogma,1697,
Dogma,1698,
Dogma,1699,
Dogma,1700,122.0
Dogma,1701,
Dogma,1702,
Dogma,1703,
Dogma,1704,
Dogma,1705,
Dogma,1706,
Dogma,1708,
Dogma,1709,
Dogma,1710,
Dogma,1711,
Dogma,1713,
Dogma,1714,
Dogma,1715,4.0
Dogma,1716,
Dogma,1717,
Dogma,1719,
Dogma,1720,
Dogma,1721,
Dogma,1723,
Dogma,1724,1.0
Dogma,1725,
Dogma,1726,
Dogma,1727,
Dogma,1728,
Dogma,1729,
Dogma,1730,1.0
Dogma,1732,
Dogma,1733,
Dogma,1735,2.0
Dogma,1736,
Dogma,1737,
Dogma,1738,
Dogma,1739,
Dogma,1740,
Dogma,1741,
Dogma,1743,
Dogma,1744,
Dogma,1745,
Dogma,1746,
Dogma,1747,
Dogma,1749,
Dogma,1750,1.0
Dogma,1751,
Dogma,1752,
Dogma,1753,
Dogma,1754,3.0
Dogma,1755,
Dogma,1756,
Dogma,1757,
Dogma,1758,
Dogma,1759,1.0
Dogma,1760,
Dogma,1761,
Dogma,1762,
Dogma,1763,1.0
Dogma,1764,
Dogma,1765,
Dogma,1766,
Dogma,1767,
Dogma,1768,
Dogma,1769,
Dogma,1770,
Dogma,1771,
Dogma,1772,1.0
